Proto,Recv-Q,Send-Q,Local Address,Foreign Address,(state)
tcp4,0,0,192.168.137.220.52913,192.30.253.125.443,ESTABLISHED
tcp4,0,0,192.168.137.220.52910,17.248.162.5.443,ESTABLISHED
tcp4,0,0,192.168.137.220.52907,17.188.136.186.5223,ESTABLISHED
tcp4,0,0,192.168.137.220.52906,17.242.12.10.5223,ESTABLISHED
tcp4,0,0,192.168.137.220.52905,13.107.18.11.443,ESTABLISHED
tcp4,0,0,192.168.137.220.52904,17.248.162.101.443,ESTABLISHED
tcp4,0,0,192.168.137.220.52903,74.125.68.188.443,ESTABLISHED
tcp4,0,0,192.168.137.220.52902,14.139.160.172.8011,ESTABLISHED
tcp4,0,0,192.168.137.220.52465,10.10.21.100.22,ESTABLISHED
tcp4,0,0,192.168.137.220.52911,23.59.29.57.443,TIME_WAIT
tcp4,0,0,192.168.137.220.52912,23.59.29.57.443,TIME_WAIT

