ip,category,created,country,isoCode,isWhitelisted,abuseConfidenceScore
8.8.8.8,"[18, 22]","Thu, 21 Feb 2019 10:23:01 +0000",United States,US,True,11
8.8.8.8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","Wed, 20 Feb 2019 03:36:57 +0000",United States,US,True,11
8.8.8.8,[13],"Tue, 19 Feb 2019 03:36:31 +0000",United States,US,True,11
8.8.8.8,"[4, 7, 15, 18]","Sun, 17 Feb 2019 20:00:03 +0000",United States,US,True,11
8.8.8.8,[15],"Wed, 13 Feb 2019 15:24:05 +0000",United States,US,True,11
8.8.8.8,[15],"Wed, 13 Feb 2019 08:32:03 +0000",United States,US,True,11
8.8.8.8,[15],"Tue, 12 Feb 2019 22:09:25 +0000",United States,US,True,11
8.8.8.8,[15],"Tue, 12 Feb 2019 22:02:16 +0000",United States,US,True,11
8.8.8.8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","Thu, 07 Feb 2019 11:55:57 +0000",United States,US,True,11
8.8.8.8,[14],"Wed, 06 Feb 2019 22:00:10 +0000",United States,US,True,11
8.8.8.8,[15],"Sat, 02 Feb 2019 14:56:48 +0000",United States,US,True,11
8.8.8.8,[15],"Fri, 01 Feb 2019 01:38:01 +0000",United States,US,True,11
8.8.8.8,[15],"Fri, 01 Feb 2019 01:19:59 +0000",United States,US,True,11
8.8.8.8,[15],"Fri, 01 Feb 2019 01:06:22 +0000",United States,US,True,11
8.8.8.8,[15],"Fri, 01 Feb 2019 00:38:26 +0000",United States,US,True,11
8.8.8.8,[15],"Fri, 01 Feb 2019 00:25:21 +0000",United States,US,True,11
8.8.8.8,[15],"Fri, 01 Feb 2019 00:20:10 +0000",United States,US,True,11
8.8.8.8,"[15, 23]","Fri, 01 Feb 2019 00:17:52 +0000",United States,US,True,11
8.8.8.8,[15],"Fri, 01 Feb 2019 00:08:38 +0000",United States,US,True,11
8.8.8.8,"[14, 20]","Thu, 31 Jan 2019 20:58:30 +0000",United States,US,True,11
8.8.8.8,[15],"Thu, 31 Jan 2019 01:42:15 +0000",United States,US,True,11
8.8.8.8,[20],"Mon, 28 Jan 2019 03:49:03 +0000",United States,US,True,11
210.212.170.66,[14],"Fri, 15 Feb 2019 10:50:45 +0000",India,IN,False,10
210.212.170.66,"[14, 15, 20]","Thu, 14 Feb 2019 08:44:53 +0000",India,IN,False,10
210.212.170.66,[14],"Mon, 11 Feb 2019 13:00:31 +0000",India,IN,False,10
210.212.170.66,[14],"Sun, 10 Feb 2019 10:46:25 +0000",India,IN,False,10
210.212.170.66,[14],"Fri, 08 Feb 2019 10:49:34 +0000",India,IN,False,10
